Name,AgentShare,RegionName,Objective1,Objective2,Objective3,ObjData1,ObjData2,ObjData3,Objsort1,Objsort2,Objsort3,SearchRule,Quantity,MaturityThreshold,DecisionMethod,SpendLimit,Type
A1,A1,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0327154450856537,0,singleObj,99999999999,New
A2,A2,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0294570585257517,0,singleObj,99999999999,New
A3,A3,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0338302821905835,0,singleObj,99999999999,New
B4,B4,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0115096165489638,0,singleObj,99999999999,New
B5,B5,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0157823613330938,0,singleObj,99999999999,New
B6,B6,UK,LCOE,,,1,,,True,False,False,same_enduse,0.032423577860758,0,singleObj,99999999999,New
C7,C7,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0401149969430524,0,singleObj,99999999999,New
C8,C8,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0133660834876451,0,singleObj,99999999999,New
C9,C9,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0407226549358682,0,singleObj,99999999999,New
D10,D10,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0427322325499047,0,singleObj,99999999999,New
D11,D11,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0269474788625085,0,singleObj,99999999999,New
D12,D12,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0478877560716293,0,singleObj,99999999999,New
E13,E13,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0521461467299448,0,singleObj,99999999999,New
E14,E14,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0446796089520782,0,singleObj,99999999999,New
F15,F15,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0761479920763008,0,singleObj,99999999999,New
F16,F16,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0103277935235661,0,singleObj,99999999999,New
G17,G17,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0653381439034601,0,singleObj,99999999999,New
G18,G18,UK,LCOE,,,1,,,True,False,False,same_enduse,0.058656292741633,0,singleObj,99999999999,New
H19,H19,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0543961998262671,0,singleObj,99999999999,New
H20,H20,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0354546907619297,0,singleObj,99999999999,New
I21,I21,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0467250718806511,0,singleObj,99999999999,New
I22,I22,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0555361127764802,0,singleObj,99999999999,New
J23,J23,UK,LCOE,,,1,,,True,False,False,same_enduse,0.049909295457178,0,singleObj,99999999999,New
J24,J24,UK,LCOE,,,1,,,True,False,False,same_enduse,0.0831931069750971,0,singleObj,99999999999,New
s1,s1,UK,LCOE,,,1,,,True,False,False,same_enduse,1.0,0,singleObj,99999999999,New
