,A1,A2,A3,B4,B5,B6,C7,C8,C9,D10,D11,D12,E13,E14,F15,F16,G17,G18,H19,H20,I21,I22,J23,J24
RES.COOKING,0.02912405477627617,0.030260551443329987,0.0373769324426389,0.026660798692543942,0.05940700365493817,0.03216179353120505,0.03875772278578839,0.030961106276292456,0.035443825962229614,0.04122190247510133,0.026362474089977193,0.041976026431744515,0.05390393070372049,0.04322935920475712,0.0619824778167257,0.02392323175134321,0.0531394161842944,0.04767328745630479,0.04418829269892097,0.03338326191168345,0.04322935920475712,0.049750938210093944,0.04813647565502685,0.06774577664030618
RES.COOLING,0.03047548532733855,0.031664718343394425,0.03911131760280975,0.015513199601448455,0.060648413968349274,0.03365418292165613,0.04055618014568139,0.018015432586425385,0.03708851004278948,0.043134704068344604,0.027585760241595286,0.043923821303297576,0.05640521080825789,0.0452353119191349,0.06327770704019221,0.013920283242455412,0.05424985460470352,0.04866950182635154,0.045111682180186435,0.034932330555734886,0.0452353119191349,0.052059508852390135,0.05037013110995561,0.06916143978837223
RES.CONSUMER-ELECTRONICS.TV,0.03215086072894762,0.03340547126796928,0.041261443802030146,0.013319163052305892,0.05586534498288509,0.03550430572109897,0.04278573698028076,0.015467504463361677,0.039127433352479285,0.04550601403685109,0.02910227437244638,0.04633851261881874,0.059506060612475986,0.04772210181138468,0.058287277477216626,0.011951533339597701,0.04997141136031604,0.04483115603143757,0.04155392569819875,0.036852718917243746,0.04772210181138468,0.05492145574558375,0.053139205260244564,0.06370698655544103
RES.LIGHTING,0.03239252124812787,0.033656562011639794,0.04157158361493873,0.02140523161602372,0.0506061228115556,0.03577117226087936,0.043107334075280314,0.024857831851740706,0.03942153297046051,0.04584805797373606,0.029321020327444706,0.04668681399438415,0.05995333527871953,0.04808080287377113,0.052800052040615005,0.019207313424729665,0.04526705028209634,0.04061070398126047,0.037641995548931835,0.03712972074502768,0.04808080287377113,0.05533427043261523,0.05353862374052353,0.05770954402172696
RES.REFRIGERATORS,0.03047548532733855,0.031664718343394425,0.03911131760280975,0.015513199601448455,0.060648413968349274,0.03365418292165613,0.04055618014568139,0.018015432586425385,0.03708851004278948,0.043134704068344604,0.027585760241595286,0.043923821303297576,0.05640521080825789,0.0452353119191349,0.06327770704019221,0.013920283242455412,0.05424985460470352,0.04866950182635154,0.045111682180186435,0.034932330555734886,0.0452353119191349,0.052059508852390135,0.05037013110995561,0.06916143978837223
RES.FREEZERS,0.03047548532733855,0.031664718343394425,0.03911131760280975,0.015513199601448455,0.060648413968349274,0.03365418292165613,0.04055618014568139,0.018015432586425385,0.03708851004278948,0.043134704068344604,0.027585760241595286,0.043923821303297576,0.05640521080825789,0.0452353119191349,0.06327770704019221,0.013920283242455412,0.05424985460470352,0.04866950182635154,0.045111682180186435,0.034932330555734886,0.0452353119191349,0.052059508852390135,0.05037013110995561,0.06916143978837223
RES.COMPUTERS,0.03296346609283147,0.034249786615053554,0.04230431698784607,0.024651553369491676,0.046804172431985334,0.03640166861017275,0.04386713631391029,0.02862777565482228,0.04011636993135616,0.04665616772657874,0.029837827440703023,0.04750970751235228,0.06101006215212242,0.048928266592933645,0.048833275556973636,0.022120298461046677,0.041866215176769056,0.03755969211079739,0.034814017602509024,0.0377841626293834,0.048928266592933645,0.05630958248680619,0.054482286044023415,0.0533739259065978
RES.WET.APPLIANCES,0.03131564821725726,0.032537666583138565,0.040189557285385966,0.012524260658734406,0.059276876174403983,0.03458197768120168,0.041674252496269784,0.014544386676439229,0.03811098399014861,0.04432386241107784,0.028346257795489615,0.04513473441086824,0.057960216886426184,0.046482380833055094,0.06184670891441907,0.0112382526010718,0.05302301747842321,0.04756886197776181,0.04409150089249664,0.035895361906214285,0.046482380833055094,0.0534947105213833,0.051758759197888374,0.0675973835773899
RES.OTHER,0.02301433479058575,0.023912414229897448,0.029535902307830514,0.016370270961841037,0.08679680311848387,0.02541480880594225,0.03062702686026528,0.019010747009728927,0.02800832793442183,0.03257426452307195,0.020832085685716206,0.0331701863940171,0.042595823873895954,0.03416059175699636,0.09055970833174541,0.014689349354036116,0.07763952329879843,0.06965321747904404,0.0645614541310293,0.02638003437155763,0.03416059175699636,0.03931405695080367,0.03803828055103378,0.09898019552226074
