Commodity,CommodityType,CommodityName
NGA,Energy,NGA
BOG,Energy,BOG
BIOMASS,Energy,BIOMASS
ELC,Energy,ELC
OIL,Energy,OIL
HCO,Energy,HCO
LFO,Energy,LFO
WOOD,Energy,WOOD
HYDROGEN,Energy,HYDROGEN
PELLETS,Energy,PELLETS
SOLAR,Energy,SOLAR
SER.COOLING.HIGH-CONSUMPTION,Services,SER.COOLING.HIGH-CONSUMPTION
SER.COOKING,Services,SER.COOKING
SER.COMPUTING,Services,SER.COMPUTING
SER.SPACE-HEAT.HIGH-CONSUMPTION,Services,SER.SPACE-HEAT.HIGH-CONSUMPTION
SER.SPACE-HEAT.LOW-CONSUMPTION,Services,SER.SPACE-HEAT.LOW-CONSUMPTION
SER.LIGHTING.OFFICE,Services,SER.LIGHTING.OFFICE
SER.LIGHTING.OTHER,Services,SER.LIGHTING.OTHER
SER.OTHER,Services,SER.OTHER
SER.REFRIGERATION,Services,SER.REFRIGERATION
SER.HOT-WATER.HIGH-CONSUMPTION,Services,SER.HOT-WATER.HIGH-CONSUMPTION
SER.HOT-WATER.LOW-CONSUMPTION,Services,SER.HOT-WATER.LOW-CONSUMPTION
CO2f,Environmental,CO2f
